english,phonetic,vietnamese
indispensable,/ˌɪndɪˈspensəbl/,không thể thiếu
innovation,/ˌɪnəˈveɪʃn/,đổi mới
inquire,/ɪnˈkwaɪər/,"hỏi, yêu cầu thông tin"
inspect,/ɪnˈspekt/,"kiểm tra, thanh tra"
instrumental,/ˌɪnstrəˈmentl/,"quan trọng, là phương tiện"
integration,/ˌɪntɪˈɡreɪʃn/,"sự hội nhập, tích hợp"
interim,/ˈɪntərɪm/,tạm thời
inventory,/ˈɪnvəntɔːri/,hàng tồn kho
liability,/ˌlaɪəˈbɪləti/,"trách nhiệm pháp lý, nợ"
logistics,/ləˈdʒɪstɪks/,hậu cần
mandatory,/ˈmændətɔːri/,bắt buộc
merchandise,/ˈmɜːrtʃəndaɪs/,hàng hóa
notable,/ˈnoʊtəbl/,đáng chú ý
obligate,/ˈɑːblɪɡeɪt/,bắt buộc
occupation,/ˌɑːkjuˈpeɪʃn/,nghề nghiệp
offering,/ˈɔːfərɪŋ/,"sản phẩm, dịch vụ được cung cấp"
operational,/ˌɑːpəˈreɪʃənl/,đang hoạt động
outlet,/ˈaʊtlet/,"cửa hàng, lối thoát"
overdue,/ˌoʊvərˈduː/,quá hạn
oversee,/ˌoʊvərˈsiː/,giám sát
patent,/ˈpætnt/,bằng sáng chế
payroll,/ˈpeɪroʊl/,bảng lương
perspective,/pərˈspektɪv/,"viễn cảnh, quan điểm"
personnel,/ˌpɜːrsəˈnel/,nhân sự
precaution,/prɪˈkɔːʃn/,biện pháp phòng ngừa
predecessor,/ˈpredəsesər/,người tiền nhiệm
preliminary,/prɪˈlɪmɪneri/,sơ bộ
premium,/ˈpriːmiəm/,"phí bảo hiểm, cao cấp"
prerequisite,/ˌpriːˈrekwɪzɪt/,điều kiện tiên quyết
procurement,/prəˈkjʊrmənt/,sự mua sắm
profitable,/ˈprɑːfɪtəbl/,có lợi nhuận
prohibit,/proʊˈhɪbɪt/,cấm
prominent,/ˈprɑːmɪnənt/,nổi bật
promote,/prəˈmoʊt/,"thúc đẩy, thăng chức"
provision,/prəˈvɪʒn/,"sự cung cấp, điều khoản"
qualification,/ˌkwɑːlɪfɪˈkeɪʃn/,"bằng cấp, phẩm chất"
quarterly,/ˈkwɔːrtərli/,hàng quý
recruit,/rɪˈkruːt/,tuyển dụng
referral,/rɪˈfɜːrəl/,sự giới thiệu
refurbish,/ˌriːˈfɜːrbɪʃ/,tân trang
reimburse,/ˌriːɪmˈbɜːrs/,hoàn trả
reluctant,/rɪˈlʌktənt/,miễn cưỡng
resign,/rɪˈzaɪn/,từ chức
resourceful,/rɪˈsɔːrsfl/,tháo vát
retail,/ˈriːteɪl/,bán lẻ
segment,/ˈseɡmənt/,phân khúc
solicit,/səˈlɪsɪt/,"khẩn khoản, xin"
specification,/ˌspesɪfɪˈkeɪʃn/,đặc điểm kỹ thuật
stagnant,/ˈstæɡnənt/,trì trệ
stipulation,/ˌstɪpjuˈleɪʃn/,"điều khoản, quy định"
subsequent,/ˈsʌbsɪkwənt/,xảy ra sau
subsidiary,/səbˈsɪdiəri/,công ty con
surpass,/sərˈpæs/,vượt trội hơn
sustain,/səˈsteɪn/,duy trì
tender,/ˈtendər/,đề nghị thầu
testimonial,/ˌtestɪˈmoʊniəl/,lời chứng thực
transaction,/trænˈzækʃn/,giao dịch
unanimous,/juˈnænɪməs/,nhất trí
undergo,/ˌʌndərˈɡoʊ/,trải qua
undertake,/ˌʌndərˈteɪk/,đảm nhận
utilize,/ˈjuːtəlaɪz/,tận dụng
validate,/ˈvælɪdeɪt/,xác nhận
vendor,/ˈvendɔːr/,nhà cung cấp
violate,/ˈvaɪəleɪt/,vi phạm
voucher,/ˈvaʊtʃər/,"phiếu, chứng từ"
yield,/jiːld/,"mang lại, năng suất"
abandon,/əˈbændən/,"từ bỏ, bỏ rơi"
abbreviate,/əˈbriːvieɪt/,viết tắt
abolish,/əˈbɑːlɪʃ/,"hủy bỏ, bãi bỏ"
absolute,/ˈæbsəluːt/,"tuyệt đối, hoàn toàn"
absorb,/əbˈzɔːrb/,"hấp thụ, tiếp thu"
abundance,/əˈbʌndəns/,"sự dồi dào, phong phú"
accelerate,/əkˈseləreɪt/,tăng tốc
accessible,/əkˈsesəbl/,có thể tiếp cận
accessory,/əkˈsesəri/,phụ kiện
acclaim,/əˈkleɪm/,"hoan nghênh, ca ngợi"
accompany,/əˈkʌmpəni/,"đi kèm, hộ tống"
accomplishment,/əˈkɑːmplɪʃmənt/,thành tựu
accountability,/əˌkaʊntəˈbɪləti/,trách nhiệm giải trình
accrue,/əˈkruː/,"tích lũy, dồn lại"
accumulate,/əˈkjuːmjəleɪt/,"tích lũy, chất đống"
acknowledge,/əkˈnɑːlɪdʒ/,"công nhận, thừa nhận"
acquisition,/ˌækwɪˈzɪʃn/,sự mua lại
activate,/ˈæktɪveɪt/,kích hoạt
adjoining,/əˈdʒɔɪnɪŋ/,liền kề
adjustment,/əˈdʒʌstmənt/,sự điều chỉnh
admission,/ədˈmɪʃn/,"sự nhận vào, vé vào cửa"
admittance,/ədˈmɪtns/,sự cho phép vào
adopt,/əˈdɑːpt/,"thông qua, nhận nuôi"
advisable,/ədˈvaɪzəbl/,"nên làm, khôn ngoan"
affiliate,/əˈfɪlieɪt/,"chi nhánh, công ty liên kết"
affluent,/ˈæfluənt/,"giàu có, thịnh vượng"
aggravate,/ˈæɡrəveɪt/,làm trầm trọng thêm
agreeable,/əˈɡriːəbl/,"dễ chịu, đồng ý"
ailment,/ˈeɪlmənt/,bệnh tật nhẹ
airfare,/ˈerfer/,giá vé máy bay
alert,/əˈlɜːrt/,"cảnh báo, tỉnh táo"
alleviate,/əˈliːvieɪt/,"làm nhẹ bớt, giảm bớt"
allowance,/əˈlaʊəns/,"trợ cấp, sự cho phép"
alter,/ˈɔːltər/,thay đổi
amend,/əˈmend/,"sửa đổi, cải thiện"
analyst,/ˈænəlɪst/,nhà phân tích
annex,/ˈæneks/,"phụ lục, thêm vào"
anticipate,/ænˈtɪsɪpeɪt/,"mong đợi, lường trước"
apparatus,/ˌæpəˈrætəs/,"thiết bị, dụng cụ"
appeal,/əˈpiːl/,"kêu gọi, kháng cáo, sự hấp dẫn"
applaud,/əˈplɔːd/,"vỗ tay, khen ngợi"
applicable,/əˈplɪkəbl/,"có thể áp dụng, phù hợp"
appreciation,/əˌpriːʃiˈeɪʃn/,"sự cảm kích, sự đánh giá"
arbitrator,/ˈɑːrbɪtreɪtər/,trọng tài viên
archive,/ˈɑːrkaɪv/,lưu trữ
arise,/əˈraɪz/,"xuất hiện, nảy sinh"
array,/əˈreɪ/,"một dãy, một loạt"
articulate,/ɑːrˈtɪkjuleɪt/,diễn đạt rõ ràng
aspirant,/ˈæspərənt/,người mong muốn
assembly,/əˈsembli/,"sự lắp ráp, hội nghị"
assign,/əˈsaɪn/,phân công
assurance,/əˈʃʊrəns/,sự đảm bảo
attest,/əˈtest/,"chứng nhận, xác nhận"
attribute,/ˈætrɪbjuːt/,"thuộc tính, quy cho"
auction,/ˈɔːkʃn/,đấu giá
authorize,/ˈɔːθəraɪz/,"ủy quyền, cho phép"
automation,/ˌɔːtəˈmeɪʃn/,sự tự động hóa
autonomous,/ɔːˈtɑːnəməs/,tự trị
auxiliary,/ɔːɡˈzɪliəri/,"phụ trợ, hỗ trợ"
avail,/əˈveɪl/,"có lợi, sử dụng"
aviation,/ˌeɪviˈeɪʃn/,hàng không
backdrop,/ˈbækdrɑːp/,bối cảnh
bail,/beɪl/,tiền bảo lãnh
barricade,/ˌbærɪˈkeɪd/,"chướng ngại vật, rào chắn"
bargain,/ˈbɑːrɡən/,"mặc cả, món hời"
barely,/ˈberli/,"chỉ vừa đủ, hầu như không"
bear,/ber/,"chịu đựng, mang"
beleaguer,/bɪˈliːɡər/,"bao vây, quấy rầy"
benchmark,/ˈbentʃmɑːrk/,điểm chuẩn
bid,/bɪd/,"đấu thầu, ra giá"
bilateral,/ˌbaɪˈlætərəl/,song phương
billing,/ˈbɪlɪŋ/,việc lập hóa đơn
blueprint,/ˈbluːprɪnt/,bản thiết kế
bond,/bɑːnd/,"trái phiếu, mối liên kết"
boom,/buːm/,sự bùng nổ
breakthrough,/ˈbreɪkθruː/,đột phá
broaden,/ˈbrɔːdn/,mở rộng
broker,/ˈbroʊkər/,người môi giới
buffer,/ˈbʌfər/,"bộ đệm, vùng đệm"
bureaucracy,/bjʊəˈrɑːkrəsi/,bộ máy quan liêu
bypass,/ˈbaɪpæs/,"đi vòng, bỏ qua"
candid,/ˈkændɪd/,"thật thà, thẳng thắn"
capability,/ˌkeɪpəˈbɪləti/,khả năng
capital,/ˈkæpɪtl/,"vốn, thủ đô"
captivate,/ˈkæptɪveɪt/,"quyến rũ, mê hoặc"
cargo,/ˈkɑːrɡoʊ/,hàng hóa (vận chuyển)
casualty,/ˈkæʒuəlti/,"thương vong, tai nạn"
catalogue,/ˈkætəlɔːɡ/,danh mục
cater,/ˈkeɪtər/,"phục vụ, cung cấp thực phẩm"
cease,/siːs/,ngừng lại
certify,/ˈsɜːrtɪfaɪ/,chứng nhận
circulation,/ˌsɜːrkjəˈleɪʃn/,"sự lưu hành, số lượng phát hành"
clarify,/ˈklærɪfaɪ/,làm rõ
co-worker,/ˌkoʊ ˈwɜːrkər/,đồng nghiệp
coherent,/koʊˈhɪrənt/,"mạch lạc, chặt chẽ"
coincide,/ˌkoʊɪnˈsaɪd/,trùng hợp
collaboration,/kəˌlæbəˈreɪʃn/,sự hợp tác
commemorate,/kəˈmeməreɪt/,kỷ niệm
commodity,/kəˈmɑːdəti/,hàng hóa
commute,/kəˈmjuːt/,đi lại (thường xuyên)
compatible,/kəmˈpætəbl/,tương thích
compel,/kəmˈpel/,"buộc, ép buộc"
compile,/kəmˈpaɪl/,"biên soạn, tổng hợp"
complement,/ˈkɑːmplɪment/,bổ sung
comprehensive,/ˌkɑːmprɪˈhensɪv/,toàn diện
compromise,/ˈkɑːmprəmaɪz/,sự thỏa hiệp
conceal,/kənˈsiːl/,che giấu
concede,/kənˈsiːd/,"thừa nhận, nhượng bộ"
concise,/kənˈsaɪs/,"ngắn gọn, súc tích"
concur,/kənˈkɜːr/,"đồng ý, trùng hợp"
condense,/kənˈdens/,"cô đọng, làm đặc"
conditionally,/kənˈdɪʃənəli/,một cách có điều kiện
confine,/kənˈfaɪn/,"hạn chế, giam giữ"
conform,/kənˈfɔːrm/,tuân thủ
confront,/kənˈfrʌnt/,đối mặt
congested,/kənˈdʒestɪd/,tắc nghẽn
conjunction,/kənˈdʒʌŋkʃn/,sự kết hợp
consent,/kənˈsent/,sự đồng ý
conserve,/kənˈsɜːrv/,bảo tồn
conspicuous,/kənˈspɪkjuəs/,"dễ thấy, nổi bật"
constitute,/ˈkɑːnstɪtuːt/,"cấu thành, thiết lập"
constraint,/kənˈstreɪnt/,"sự ràng buộc, hạn chế"
consultation,/ˌkɑːnslˈteɪʃn/,sự tham khảo ý kiến
consumption,/kənˈsʌmpʃn/,sự tiêu thụ
contemplate,/ˈkɑːntəmpleɪt/,suy ngẫm
contend,/kənˈtend/,"tranh đấu, cho rằng"
contestable,/kənˈtestəbl/,có thể tranh cãi
contingency,/kənˈtɪndʒənsi/,"sự ngẫu nhiên, dự phòng"
contractual,/kənˈtræktʃuəl/,thuộc hợp đồng
controversy,/ˈkɑːntrəvɜːrsi/,sự tranh cãi
convene,/kənˈviːn/,"triệu tập, tập hợp"
conventional,/kənˈvenʃənl/,"thông thường, truyền thống"
converge,/kənˈvɜːrdʒ/,hội tụ
convey,/kənˈveɪ/,"truyền đạt, vận chuyển"
cooperative,/koʊˈɑːpərətɪv/,hợp tác
correlation,/ˌkɔːrəˈleɪʃn/,sự tương quan
counteract,/ˌkaʊntərˈækt/,"chống lại, vô hiệu hóa"
counterpart,/ˈkaʊntərpɑːrt/,"đối tác, bản sao"
courtesy,/ˈkɜːrtəsi/,"sự lịch sự, nhã nhặn"
coverage,/ˈkʌvərɪdʒ/,"phạm vi bảo hiểm, tin tức"
creditable,/ˈkredɪtəbl/,đáng khen ngợi
crucial,/ˈkruːʃl/,"quan trọng, chủ yếu"
culminate,/ˈkʌlmɪneɪt/,đạt đến đỉnh điểm
customization,/ˌkʌstəməˈzeɪʃn/,sự tùy chỉnh
decline,/dɪˈklaɪn/,"từ chối, suy giảm"
deduct,/dɪˈdʌkt/,khấu trừ
default,/dɪˈfɔːlt/,"mặc định, vỡ nợ"
deficit,/ˈdefɪsɪt/,"sự thiếu hụt, thâm hụt"
deflect,/dɪˈflekt/,làm chệch hướng
defray,/dɪˈfreɪ/,thanh toán (chi phí)
deliberate,/dɪˈlɪbərət/,"cố ý, thận trọng"
delinquent,/dɪˈlɪŋkwənt/,"quá hạn, phạm pháp"
deliverable,/dɪˈlɪvərəbl/,"có thể giao được, sản phẩm bàn giao"
demographic,/ˌdeməˈɡræfɪk/,nhân khẩu học
demonstration,/ˌdemənˈstreɪʃn/,"sự chứng minh, cuộc biểu tình"
denounce,/dɪˈnaʊns/,"lên án, tố cáo"
dependable,/dɪˈpendəbl/,đáng tin cậy
deplete,/dɪˈpliːt/,làm cạn kiệt
depreciation,/dɪˌpriːʃiˈeɪʃn/,"sự giảm giá trị, khấu hao"
desirable,/dɪˈzaɪərəbl/,đáng mong muốn
deteriorate,/dɪˈtɪəriəreɪt/,"xuống cấp, xấu đi"
devise,/dɪˈvaɪz/,"nghĩ ra, phát minh"
diagnose,/ˌdaɪəɡˈnoʊs/,chẩn đoán
dictate,/ˈdɪkteɪt/,"ra lệnh, đọc cho viết"
differentiate,/ˌdɪfəˈrenʃieɪt/,phân biệt
diligent,/ˈdɪlɪdʒənt/,"siêng năng, cần cù"
dimension,/daɪˈmenʃn/,"kích thước, khía cạnh"
diminish,/dɪˈmɪnɪʃ/,giảm bớt
diplomatic,/ˌdɪpləˈmætɪk/,ngoại giao
directory,/dəˈrektəri/,"danh bạ, thư mục"
disbursement,/dɪsˈbɜːrsmənt/,"sự chi trả, giải ngân"
discretion,/dɪˈskreʃn/,"sự thận trọng, quyền tự quyết"
disguise,/dɪsˈɡaɪz/,"ngụy trang, che đậy"
dispense,/dɪˈspens/,"phân phát, cấp phát"
displace,/dɪsˈpleɪs/,"thay thế, di dời"
disposal,/dɪˈspoʊzl/,"sự vứt bỏ, quyền sử dụng"
dispute,/dɪˈspjuːt/,tranh chấp
disrupt,/dɪsˈrʌpt/,làm gián đoạn
dissolve,/dɪˈzɑːlv/,"giải tán, hòa tan"
distinction,/dɪˈstɪŋkʃn/,"sự khác biệt, nét độc đáo"
distort,/dɪˈstɔːrt/,bóp méo
diversify,/daɪˈvɜːrsɪfaɪ/,đa dạng hóa
divest,/daɪˈvest/,thoái vốn
division,/dɪˈvɪʒn/,"sự chia cắt, bộ phận"
domestic,/dəˈmestɪk/,trong nước
dormant,/ˈdɔːrmənt/,"tiềm ẩn, không hoạt động"
drastic,/ˈdræstɪk/,"quyết liệt, mạnh mẽ"
eager,/ˈiːɡər/,háo hức
e-commerce,/ˈiː kɑːmɜːrs/,thương mại điện tử
eliminate,/ɪˈlɪmɪneɪt/,loại bỏ
embed,/ɪmˈbed/,"nhúng, gắn vào"
emergence,/ɪˈmɜːrdʒəns/,sự nổi lên
empathy,/ˈempəθi/,sự đồng cảm
empower,/ɪmˈpaʊər/,trao quyền
enclosure,/ɪnˈkloʊʒər/,tài liệu đính kèm
encounter,/ɪnˈkaʊntər/,"bắt gặp, đối diện"
endeavor,/ɪnˈdevər/,nỗ lực
endorsement,/ɪnˈdɔːrsmənt/,"sự xác nhận, quảng cáo"
enforce,/ɪnˈfɔːrs/,thực thi
engagement,/ɪnˈɡeɪdʒmənt/,"sự tham gia, cam kết"
entail,/ɪnˈteɪl/,"đòi hỏi, kéo theo"
enterprise,/ˈentərpraɪz/,"doanh nghiệp, công trình"
entirety,/ɪnˈtaɪərəti/,toàn bộ
envision,/ɪnˈvɪʒn/,hình dung
erect,/ɪˈrekt/,"dựng lên, xây dựng"
escalate,/ˈeskəleɪt/,"leo thang, tăng cường"
estate,/ɪˈsteɪt/,"bất động sản, tài sản"
estee,/ɪˈsteɪ/,sự kính trọng
evict,/ɪˈvɪkt/,"đuổi khỏi nhà, trục xuất"
exceedingly,/ɪkˈsiːdɪŋli/,"vô cùng, cực kỳ"
exceptionally,/ɪkˈsepʃənəli/,một cách đặc biệt
exclusive,/ɪkˈskluːsɪv/,"độc quyền, riêng biệt"
excursion,/ɪkˈskɜːrʒn/,"chuyến tham quan, dã ngoại"
execute,/ˈeksɪkjuːt/,"thực hiện, hành quyết"
exemplary,/ɪɡˈzempləri/,"gương mẫu, mẫu mực"
expenditure,/ɪkˈspendɪtʃər/,"chi phí, sự tiêu dùng"
expire,/ɪkˈspaɪər/,hết hạn
explicit,/ɪkˈsplɪsɪt/,"rõ ràng, dứt khoát"
exploit,/ɪkˈsplɔɪt/,"khai thác, bóc lột"
extravagant,/ɪkˈstrævəɡənt/,"phung phí, quá mức"
fabricate,/ˈfæbrɪkeɪt/,"chế tạo, bịa đặt"
facilitate,/fəˈsɪlɪteɪt/,tạo điều kiện
fail-safe,/ˈfeɪl seɪf/,an toàn tuyệt đối
falter,/ˈfɔːltər/,"dao động, chùn bước"
familiarize,/fəˈmɪliəraɪz/,làm quen
fare,/fer/,giá vé
faulty,/ˈfɔːlti/,"có lỗi, sai sót"
feat,/fiːt/,"kỳ công, chiến công"
fertile,/ˈfɜːrtl/,"màu mỡ, mắn đẻ"
fidelity,/fɪˈdeləti/,"lòng trung thành, độ chính xác"
figurative,/ˈfɪɡjərətɪv/,theo nghĩa bóng
financing,/faɪˈnænsɪŋ/,"tài trợ, cấp vốn"
fiscal,/ˈfɪskl/,"thuộc tài chính, tài khóa"
flexibility,/ˌfleksəˈbɪləti/,sự linh hoạt
fluctuate,/ˈflʌktʃueɪt/,dao động
forfeit,/ˈfɔːrfɪt/,"bị tịch thu, mất quyền"
formulate,/ˈfɔːrmjuleɪt/,"đề ra, xây dựng"
fortify,/ˈfɔːrtɪfaɪ/,củng cố
foster,/ˈfɔːstər/,"nuôi dưỡng, khuyến khích"
fraud,/frɔːd/,"gian lận, lừa đảo"
fringe,/frɪndʒ/,"rìa, ngoại biên"
fulfillment,/fʊlˈfɪlmənt/,"sự hoàn thành, thực hiện"
furnish,/ˈfɜːrnɪʃ/,trang bị đồ đạc
garnish,/ˈɡɑːrnɪʃ/,"trang trí, tô điểm"
gauge,/ɡeɪdʒ/,"đo, đánh giá"
generic,/dʒəˈnerɪk/,"chung, không có thương hiệu"
genuine,/ˈdʒenjuɪn/,"chính hãng, thật"
graphic,/ˈɡræfɪk/,"đồ họa, sinh động"
gratify,/ˈɡrætɪfaɪ/,làm hài lòng
grievance,/ˈɡriːvəns/,"lời phàn nàn, sự bất bình"
gross,/ɡroʊs/,tổng (trước khi trừ thuế)
guideline,/ˈɡaɪdlaɪn/,"nguyên tắc, hướng dẫn"
habitat,/ˈhæbɪtæt/,môi trường sống
haphazard,/ˌhæpˈhæzərd/,"ngẫu nhiên, bừa bãi"
harness,/ˈhɑːrnɪs/,"khai thác, sử dụng"
hazardous,/ˈhæzərdəs/,nguy hiểm
hierarchy,/ˈhaɪərɑːrki/,hệ thống cấp bậc
hinder,/ˈhɪndər/,cản trở
hostile,/ˈhɑːstl/,thù địch
hybrid,/ˈhaɪbrɪd/,"lai tạp, hỗn hợp"
identical,/aɪˈdentɪkl/,giống hệt
illegible,/ɪˈledʒəbl/,"khó đọc, không đọc được"
immense,/ɪˈmens/,"mênh mông, rộng lớn"
imminent,/ˈɪmɪnənt/,sắp xảy ra
impair,/ɪmˈper/,"làm suy yếu, làm hỏng"
impartial,/ɪmˈpɑːrʃl/,"công bằng, vô tư"
impede,/ɪmˈpiːd/,cản trở
imperative,/ɪmˈperətɪv/,"cấp bách, bắt buộc"
implication,/ˌɪmplɪˈkeɪʃn/,"ngụ ý, sự liên quan"
inaccessible,/ˌɪnəkˈsesəbl/,không thể tiếp cận
inadvertently,/ˌɪnədˈvɜːrtəntli/,"vô ý, không cố ý"
inaugurate,/ɪˈnɔːɡjəreɪt/,"khánh thành, nhậm chức"
inception,/ɪnˈsepʃn/,"sự bắt đầu, sự khởi đầu"
incline,/ɪnˈklaɪn/,"nghiêng, có xu hướng"
inclusive,/ɪnˈkluːsɪv/,"bao gồm, toàn diện"
incompatibility,/ˌɪnkəmˌpætəˈbɪləti/,sự không tương thích
incurred,/ɪnˈkɜːrd/,"phát sinh, gánh chịu"
indebted,/ɪnˈdetɪd/,"mắc nợ, mang ơn"
indemnity,/ɪnˈdemnəti/,"sự bồi thường, tiền bồi thường"
indicator,/ˈɪndɪkeɪtər/,chỉ số
induce,/ɪnˈduːs/,"xúi giục, gây ra"
ineffective,/ˌɪnɪˈfektɪv/,không hiệu quả
inflict,/ɪnˈflɪkt/,gây ra (tổn thương)
infringement,/ɪnˈfrɪndʒmənt/,sự vi phạm
inherent,/ɪnˈhɪrənt/,"vốn có, cố hữu"
initiate,/ɪˈnɪʃieɪt/,"bắt đầu, khởi xướng"
inject,/ɪnˈdʒekt/,"tiêm, đưa vào"
insolvent,/ɪnˈsɑːlvənt/,"vỡ nợ, không trả được nợ"
installation,/ˌɪnstəˈleɪʃn/,"sự lắp đặt, công trình"
instantaneous,/ˌɪnstənˈteɪniəs/,"tức thời, ngay lập tức"
instrument,/ˈɪnstrəmənt/,"dụng cụ, công cụ"
insufficient,/ˌɪnsəˈfɪʃnt/,không đủ
insulate,/ˈɪnsəleɪt/,"cách ly, cách nhiệt"
intact,/ɪnˈtækt/,nguyên vẹn
intangible,/ɪnˈtændʒəbl/,vô hình
intensive,/ɪnˈtensɪv/,"chuyên sâu, cường độ cao"
interact,/ˌɪntərˈækt/,tương tác
interchangeable,/ˌɪntərˈtʃeɪndʒəbl/,có thể hoán đổi
interfere,/ˌɪntərˈfɪr/,can thiệp
intermediate,/ˌɪntərˈmiːdiət/,"trung cấp, trung gian"
intermittent,/ˌɪntərˈmɪtənt/,"gián đoạn, không liên tục"
interpretation,/ɪnˌtɜːrprɪˈteɪʃn/,"sự giải thích, phiên dịch"
intervene,/ˌɪntərˈviːn/,"xen vào, can thiệp"
intricate,/ˈɪntrɪkət/,"phức tạp, rắc rối"
intriguing,/ɪnˈtriːɡɪŋ/,"hấp dẫn, gợi sự tò mò"
invalidate,/ɪnˈvælɪdeɪt/,làm mất hiệu lực
investigator,/ɪnˈvestɪɡeɪtər/,điều tra viên
irrespective,/ˌɪrɪˈspektɪv/,bất kể
irrevocable,/ɪˈrevəkəbl/,"không thể thay đổi, không thể hủy ngang"
jeopardize,/ˈdʒepərdaɪz/,gây nguy hiểm
journal,/ˈdʒɜːrnl/,"tạp chí, nhật ký"
junction,/ˈdʒʌŋkʃn/,"điểm nối, ngã ba"
lacking,/ˈlækɪŋ/,thiếu
lapse,/læps/,"sự lỡ, khoảng thời gian"
legitimate,/lɪˈdʒɪtɪmət/,"hợp pháp, chính đáng"
levy,/ˈlevi/,"thu (thuế), tiền thuế"
liaison,/liˈeɪzɑːn/,"sự liên lạc, người liên lạc"
likelihood,/ˈlaɪklihʊd/,khả năng xảy ra
limitation,/ˌlɪmɪˈteɪʃn/,sự hạn chế
liquidate,/ˈlɪkwɪdeɪt/,thanh lý
literacy,/ˈlɪtərəsi/,"trình độ học vấn, biết chữ"
load,/loʊd/,"tải, chất hàng"
longevity,/lɑːnˈdʒevəti/,tuổi thọ
loophole,/ˈluːphoʊl/,kẽ hở (luật pháp)
luxury,/ˈlʌkʃəri/,xa xỉ
malfunction,/ˌmælˈfʌŋkʃn/,"sự cố, trục trặc"
mandate,/ˈmændeɪt/,"ủy nhiệm, chỉ thị"
manipulate,/məˈnɪpjuleɪt/,"thao túng, điều khiển"
margin,/ˈmɑːrdʒɪn/,"biên độ, lề"
marketable,/ˈmɑːrkɪtəbl/,"có thể bán được, có giá trị"
mass,/mæs/,"khối lượng, đại chúng"
maximise,/ˈmæksɪmaɪz/,tối đa hóa
mechanism,/ˈmekənɪzəm/,"cơ chế, cơ cấu"
mediator,/ˈmiːdieɪtər/,người hòa giải
mentor,/ˈmentɔːr/,cố vấn
merger,/ˈmɜːrdʒər/,sự sáp nhập
meticulous,/məˈtɪkjələs/,"tỉ mỉ, chi tiết"
minimum,/ˈmɪnɪməm/,tối thiểu
miscellaneous,/ˌmɪsəˈleɪniəs/,"đa dạng, hỗn hợp"
misconduct,/ˌmɪsˈkɑːndʌkt/,hành vi sai trái
modify,/ˈmɑːdɪfaɪ/,sửa đổi
monetary,/ˈmɑːnɪteri/,thuộc tiền tệ
monopolize,/məˈnɑːpəlaɪz/,độc quyền
mortgage,/ˈmɔːrɡɪdʒ/,thế chấp
motivate,/ˈmoʊtɪveɪt/,"thúc đẩy, tạo động lực"
municipal,/mjuːˈnɪsɪpl/,"thuộc thành phố, đô thị"
mutual,/ˈmjuːtʃuəl/,"chung, lẫn nhau"
navigate,/ˈnævɪɡeɪt/,điều hướng
necessitate,/nəˈsesɪteɪt/,"bắt buộc, đòi hỏi"
negligence,/ˈneɡlɪdʒəns/,"sự cẩu thả, sơ suất"
negotiation,/nɪˌɡoʊʃiˈeɪʃn/,sự đàm phán
nominal,/ˈnɑːmɪnl/,"danh nghĩa, nhỏ bé"
non-refundable,/ˌnɑːnrɪˈfʌndəbl/,không hoàn lại
notarize,/ˈnoʊtəraɪz/,công chứng
notify,/ˈnoʊtɪfaɪ/,thông báo
nullify,/ˈnʌlɪfaɪ/,"hủy bỏ, vô hiệu hóa"
numerous,/ˈnuːmərəs/,"nhiều, vô số"
objection,/əbˈdʒekʃn/,sự phản đối
obligatory,/əˈblɪɡətɔːri/,bắt buộc
obscure,/əbˈskjʊr/,"che khuất, khó hiểu"
observance,/əbˈzɜːrvəns/,"sự tuân thủ, sự cử hành"
obsolete,/ˌɑːbsəˈliːt/,lỗi thời
offender,/əˈfendər/,người phạm tội
offset,/ˈɔːfset/,bù đắp
ongoing,/ˈɑːnɡoʊɪŋ/,đang diễn ra
openings,/ˈoʊpnɪŋz/,"vị trí trống, chỗ trống"
optimum,/ˈɑːptɪməm/,tối ưu
orientation,/ˌɔːriənˈteɪʃn/,định hướng
outbound,/ˈaʊtbaʊnd/,"đi ra nước ngoài, khởi hành"
outfit,/ˈaʊtfɪt/,"trang phục, trang bị"
outline,/ˈaʊtlaɪn/,"nét phác thảo, dàn ý"
outstanding,/ˌaʊtˈstændɪŋ/,"nổi bật, chưa thanh toán"
overcharge,/ˌoʊvərˈtʃɑːrdʒ/,tính giá quá cao
overhaul,/ˈoʊvərhɔːl/,đại tu
overhead,/ˈoʊvərhed/,chi phí chung
overtime,/ˈoʊvərtaɪm/,làm thêm giờ
parallel,/ˈpærəlel/,song song
paraphrase,/ˈpærəfreɪz/,diễn giải
partial,/ˈpɑːrʃl/,"một phần, thiên vị"
passage,/ˈpæsɪdʒ/,"đoạn văn, lối đi"
patch,/pætʃ/,"miếng vá, sửa chữa tạm thời"
patron,/ˈpeɪtrən/,"khách quen, người bảo trợ"
pending,/ˈpendɪŋ/,đang chờ giải quyết
perceive,/pərˈsiːv/,"nhận thấy, hiểu được"
perks,/pɜːrks/,phúc lợi bổ sung
permissible,/pərˈmɪsəbl/,có thể cho phép
perpetual,/pərˈpetʃuəl/,"vĩnh viễn, không ngừng"
pertain,/pərˈteɪn/,liên quan đến
petition,/pəˈtɪʃn/,"đơn yêu cầu, kiến nghị"
phasing in,/ˈfeɪzɪŋ ɪn/,đưa vào từng bước
placeholder,/ˈpleɪshoʊldər/,giữ chỗ
pledge,/pledʒ/,"cam kết, lời hứa"
portfolio,/pɔːrtˈfoʊliəʊ/,"danh mục đầu tư, hồ sơ năng lực"
